date,open,high,low,close,volume
2026-02-16,257.0,261.39,253.71,259.09,13625043.0
2026-02-17,259.145,266.29,258.74,265.16,40208460.0
2026-02-18,265.16,266.82,262.02,263.82,22375943.0
2026-02-19,263.8,264.48,258.16,262.54,26237882.0
2026-02-20,262.58,264.84,261.22,264.4,22842076.0
2026-02-22,263.16,267.74,262.18,266.82,9677386.642239999
2026-02-23,266.85,274.89,264.75,273.93,34901199.891772
2026-02-24,273.95,274.82,270.5,273.53,28332059.235600002
2026-02-25,273.53,276.11,270.81,271.005,25685861.58933
2026-02-26,271.09,273.8,268.192,268.92,25306420.038083002
2026-02-27,268.89,269.64,262.89,263.55,34239830.765719004
2026-03-01,261.03,264.59,259.19,262.7,11378006.780925002
2026-03-02,262.65,266.53,260.61,262.4,30495719.488221
2026-03-03,262.37,266.15,260.13,264.085,27511124.811125
2026-03-04,264.05,265.51,258.065,261.0,31968784.436302
2026-03-05,260.995,262.52,254.37,257.46,34956267.479595
2026-03-06,257.51,258.02,255.9,257.0,17730875.129914
2026-03-08,256.74,259.75,252.33,257.47,12591763.475479001
2026-03-09,257.36,261.78,255.95,261.53,26080879.537945002
2026-03-10,261.49,262.48,259.55,260.735,22852377.896364
2026-03-11,260.54,261.23,254.18,255.13,22716834.182966
2026-03-12,255.155,256.95,251.85,252.12,26986721.911866
2026-03-13,252.16,252.97,249.25,249.76,18720039.336154997
2026-03-15,250.16,253.885,249.495,253.01,12177846.617107
2026-03-16,252.94,255.075,251.18,254.435,21015028.606032
2026-03-17,254.4,255.72,251.38,251.77,21370452.774212
2026-03-18,251.665,252.0,247.3,249.58,27846526.110967003
2026-03-19,249.55,250.17,246.61,248.85,37726331.041143
2026-03-20,248.88,250.98,246.0,249.8,22988359.893481
2026-03-22,248.85,255.0,245.18,251.65,15374128.127733
2026-03-23,251.59,254.69,249.55,253.89,26047373.226127
2026-03-24,253.91,255.29,251.22,253.53,26749873.817266997
2026-03-25,253.41,257.0,250.77,256.51,25963640.5022
2026-03-26,256.49,256.705,251.79,252.74,35020147.471383005
2026-03-27,252.74,252.9,247.25,247.25,20630217.81122
2026-03-29,247.51,250.87,246.04,246.87,11811136.330851002
2026-03-30,246.85,249.5058,245.09,248.61,26662206.454166003
2026-03-31,248.555,256.18,248.49,254.63,35715685.789291
2026-04-01,254.655,256.13,250.65,254.62,27484976.431317005
2026-04-02,254.55,256.13,254.0,255.4487,13168713.696436
2026-04-05,254.29,262.16,254.29,259.45,11761707.023498997
2026-04-06,259.52,259.63,245.7,248.42,35259624.619852
2026-04-07,248.54,260.13,248.47,257.575,43834316.657929
2026-04-08,257.63,260.03,256.07,258.675,26340222.759637997
2026-04-09,258.67,262.19,258.44,260.875,20912520.781981
2026-04-10,260.9,261.05,259.0231,261.0,11804537.407242
2026-04-12,260.0,260.18,255.25,257.02,11366245.234330999
2026-04-13,257.03,261.93,256.78,257.75,30279673.627106
2026-04-14,257.74,264.77,257.19,264.41,40816404.949405
2026-04-15,264.315,268.85,261.27,263.53,38720677.038484
2026-04-16,263.53,272.3,263.0,270.94,40896502.266477995
2026-04-17,270.91,271.7399,269.53,270.75,20635453.908336
2026-04-19,270.99,274.275,267.99,272.785,15300013.058561001
2026-04-20,272.75,273.66,266.56,266.67,31785551.082546003
2026-04-21,266.8,273.2509,265.4,273.01,43572177.856874004
2026-04-22,273.01,275.77,271.03,273.29,26565154.514258
2026-04-23,273.445,274.55,269.8,271.08,28170890.678228997
2026-04-24,270.96,271.69,269.65,270.9,16336789.723154997
2026-04-26,270.99,271.85,265.07,266.81,14789535.827072997
2026-04-27,266.82,273.23,266.09,269.62,34104943.924785
2026-04-28,269.68,271.0,267.04,268.64,26967024.805155993
2026-04-29,268.66,272.22,268.03,271.95,28312361.646608
2026-04-30,271.87,287.22,267.66,284.685,89424430.512606
2026-05-01,284.69,285.0,279.61,280.07,27060153.752114
2026-05-03,280.1,280.91,274.8601,276.86,18377800.868318997
2026-05-04,276.84,283.21,275.22,280.18,33377528.636405
2026-05-05,280.115,286.72,280.02,285.6,41463397.05877
2026-05-06,285.615,292.13,285.2,289.295,37982913.153468
2026-05-07,289.3,294.76,285.78,292.305,37257714.19692
2026-05-08,292.3,294.3,291.7501,293.8595,18740313.381503
2026-05-10,293.93,294.45,290.23,292.575,15570097.385958001
2026-05-11,292.4,295.01,290.63,294.41,31122658.012376998
2026-05-12,294.5,298.015,293.07,296.965,36924468.029144995
2026-05-13,296.93,301.35,296.78,299.13,35708215.492891
2026-05-14,299.2,302.79,293.8956,301.005,38277175.845655
2026-05-15,301.18,303.2,299.52,299.846,19477274.971676998
2026-05-17,299.99,301.39,295.27,295.83,12868540.73316
2026-05-18,295.8,300.52,294.89,297.245,30660981.960267
2026-05-19,297.28,302.37,296.365,299.17,26679468.740004
2026-05-20,299.205,304.25,298.93,303.83,28117167.482329004
2026-05-21,303.81,311.4,303.04,309.965,35136121.751802005
2026-05-22,309.97,310.53,307.96,308.4105,16234288.269760001
2026-05-25,309.0,311.825,308.63,310.16,15084056.215488
2026-05-26,310.2,313.26,307.25,311.71,44813466.56849901
2026-05-27,311.71,312.8,309.08,310.71,29664480.27192
2026-05-28,310.68,315.01,309.57,310.58,35518159.143852
2026-05-29,310.58,313.25,309.53,311.35,24620632.649477996
2026-05-31,312.01,312.01,306.36,306.84,18283889.325582996
2026-06-01,306.84,313.16,304.55,312.438,35020237.598726
2026-06-02,312.434,316.94,310.32,311.441,39556176.543527
2026-06-03,311.453,314.72,308.875,310.334,34670037.247833
2026-06-04,310.405,315.14,310.01,313.46,33915228.284442
2026-06-05,313.457,313.55,307.086,307.714,34802391.530305
2026-06-07,308.01,315.35,307.25,313.596,18810458.274460003
2026-06-08,313.601,317.38,290.91,291.196,75349379.398769
2026-06-09,291.17,292.21,287.37,291.241,50236707.948363
2026-06-10,291.33,294.75,289.6,293.449,37902734.382626005
2026-06-11,293.44,297.11,290.03,291.34,34504490.958964996
2026-06-12,291.35,292.24,289.625,291.33,15419103.098448003
2026-06-13,291.35,291.35,291.33,291.33,0.0691
