date,open,high,low,close,volume
2026-02-13,198.94,201.16,197.87,198.9499,37526201.0
2026-02-16,200.0,200.99,196.0,200.14,27707193.0
2026-02-17,200.14,206.86,198.935,206.535,54804062.0
2026-02-18,206.48,206.87,202.81,204.525,35696512.0
2026-02-19,204.54,211.0,203.73,210.92,47157426.0
2026-02-20,210.905,211.17,206.83,210.0494,31552267.0
2026-02-22,208.01,210.0,203.92,204.55,18520740.376120005
2026-02-23,204.54,207.95,203.11,207.77,41740881.552049994
2026-02-24,207.745,211.59,207.63,210.38,32277261.619646996
2026-02-25,210.38,211.2,206.95,208.065,38296799.776196
2026-02-26,208.16,209.22,204.8,208.61,40098733.522061
2026-02-27,208.59,210.33,207.38,209.23,27424323.50438
2026-03-01,208.01,210.0,201.09,207.835,14752712.312742999
2026-03-02,207.84,209.73,202.0,203.69,37732449.579752
2026-03-03,203.72,217.54,203.64,215.4,42867431.57758699
2026-03-04,215.38,220.47,214.47,217.05,47875331.90009
2026-03-05,217.105,219.77,213.11,216.01,47951228.060569
2026-03-06,216.05,216.5499,212.5,212.5,28207511.001314003
2026-03-08,212.09,213.21,206.48,210.11,22417442.032250002
2026-03-09,210.11,215.647,208.83,214.6,39324094.113113
2026-03-10,214.53,217.0,211.71,212.005,30602379.424484
2026-03-11,211.88,213.33,208.14,209.975,30765429.896759998
2026-03-12,209.97,211.0,206.86,207.09,31942130.6357
2026-03-13,207.14,208.51,206.22,207.3,15801610.710315
2026-03-15,210.64,210.64,207.151,209.01,14908396.045756998
2026-03-16,208.98,214.835,208.6299,213.4,33709287.469629
2026-03-17,213.4,216.58,211.4,211.94,35467976.442637004
2026-03-18,211.9,212.26,206.05,207.49,33105666.611876998
2026-03-19,207.48,209.44,205.14,206.99,38865892.793995
2026-03-20,207.075,208.0,204.316,207.0999,22043288.383389
2026-03-22,204.62,212.8,201.74,210.56,20876653.688586004
2026-03-23,210.61,211.8,206.64,208.37,31164522.461524997
2026-03-24,208.34,213.07,206.705,210.99,32311049.866884
2026-03-25,211.0,212.9,207.8,211.69,33943590.888353
2026-03-26,211.64,211.66,200.26,201.01,43069696.457255006
2026-03-27,201.02,201.84,198.42,198.42,25640860.178633
2026-03-29,197.99,203.81,197.21,203.3,16755777.24032
2026-03-30,203.32,207.34,199.75,205.35,37476397.428081
2026-03-31,205.32,213.2,205.27,213.05,47055105.948415995
2026-04-01,213.03,213.58,204.75,209.68,35642939.006339
2026-04-02,209.695,210.09,208.49,209.78,12217442.392421998
2026-04-05,209.86,212.95,206.85,212.55,9316547.069666
2026-04-06,212.545,214.4,209.075,210.94,21693419.310121004
2026-04-07,210.99,226.1,210.86,221.48,34518708.167118005
2026-04-08,221.46,232.24,219.01,232.03,47458681.605951
2026-04-09,232.0,240.43,230.48,237.87,62377253.50130701
2026-04-10,237.92,238.828,237.14,238.4,19926296.407500003
2026-04-12,232.68,239.32,231.99,238.25,17998894.247235004
2026-04-13,238.19,248.63,237.38,248.215,46070881.960232005
2026-04-14,248.1,252.18,247.2,247.965,55088576.419263
2026-04-15,247.9,250.0,244.2,248.545,36513776.186592005
2026-04-16,248.57,256.18,247.72,253.68,38942096.412319
2026-04-17,253.68,254.29,250.11,250.74,20961671.782167997
2026-04-19,250.99,250.99,245.36,246.78,16743671.558740001
2026-04-20,246.81,257.69,246.54,252.53,38333635.193059
2026-04-21,252.505,253.68,249.1,252.22,29662324.737159006
2026-04-22,252.32,258.79,251.99,256.71,33830272.547053
2026-04-23,256.75,263.0,253.07,262.95,40708005.556252
2026-04-24,262.91,264.61,261.7,264.22,22590740.296396002
2026-04-26,265.0,267.29,260.34,261.22,20647871.623481
2026-04-27,261.24,263.5,256.39,259.82,37893990.21610001
2026-04-28,259.81,265.91,257.5,263.485,44828884.75365199
2026-04-29,263.49,277.1202,245.02,258.41,90697858.54580699
2026-04-30,258.3,273.315,257.75,270.105,62009870.438883
2026-05-01,270.1,270.22,267.1,267.5501,19362901.936306
2026-05-03,267.58,276.1,266.6,271.04,25103508.874486998
2026-05-04,271.01,278.56,269.73,275.93,39885438.966285
2026-05-05,275.97,277.23,270.9,274.87,33731942.538007
2026-05-06,274.75,277.8,272.19,273.585,33704465.126163006
2026-05-07,273.49,273.58,269.55,272.64,27482189.094472002
2026-05-08,272.625,274.0,271.9131,272.5803,15744106.217982
2026-05-10,272.54,273.63,269.1569,272.24,14248924.062503
2026-05-11,272.27,273.075,263.7,264.4,28441113.01216
2026-05-12,264.36,269.37,262.63,268.41,30049100.061493002
2026-05-13,268.36,271.28,267.03,268.29,28746889.835887
2026-05-14,268.38,269.185,260.8901,262.32,32631004.531836
2026-05-15,262.38,264.36,261.25,262.6385,16026260.496531002
2026-05-17,262.65,268.85,260.14,265.51,17552275.388236
2026-05-18,265.55,265.93,255.19,255.58,30028499.256308995
2026-05-19,255.58,265.58,255.5301,264.92,30767775.748724002
2026-05-20,264.9,266.85,261.37,265.65,28535096.497464005
2026-05-21,265.665,269.79,264.75,269.23,27450703.541554995
2026-05-22,269.3,269.6,265.3,265.3,12548271.68857
2026-05-25,268.99,269.3,263.29,263.57,15618959.114847997
2026-05-26,263.62,271.44,262.07,269.885,32701853.471363004
2026-05-27,269.9,273.59,267.44,270.44,32096515.976559006
2026-05-28,270.28,274.75,269.17,272.95,33383396.814015005
2026-05-29,272.92,273.03,269.64,270.476,17932965.97704
2026-05-31,271.85,272.0,262.31,263.6,21113070.487921998
2026-06-01,263.74,264.635,254.37,259.36,44665008.37765
2026-06-02,259.345,259.52,249.17,250.16,35457119.048095
2026-06-03,250.11,255.84,247.71,254.014,39328370.681083
2026-06-04,254.011,256.31,251.55,252.911,29844551.059619
2026-06-05,252.909,253.84,245.283,245.51,29647293.620499995
2026-06-07,248.01,249.882,245.0,245.911,13375071.339092
2026-06-08,245.92,250.415,242.21,242.734,28911464.839546002
2026-06-09,242.729,245.8,238.83,240.038,35797225.520985
2026-06-10,240.05,240.55,235.19,237.127,30969156.604213
2026-06-11,237.13,245.275,233.67,235.951,46021661.13938101
2026-06-12,235.95,238.875,235.73,238.635,19124723.998296995
2026-06-14,238.77,247.685,238.47,246.526,18188250.01091
2026-06-15,246.521,250.0,245.485,248.051,28675499.134027
2026-06-16,248.0,248.041,240.01,240.194,29036879.99197
2026-06-17,240.22,244.3,236.035,243.79,50853724.007253
2026-06-18,243.828,245.73,242.32,243.07,25099624.235129002
2026-06-19,243.33,244.6,242.13,244.28,34.7786
2026-06-20,244.6,249.06,244.28,248.53,73.3925
2026-06-21,249.07,249.11,232.54,233.659,24802445.861224007
2026-06-22,233.663,236.86,229.361,234.611,52205485.084102005
2026-06-23,234.609,242.38,232.564,241.933,47339901.432645
2026-06-24,241.932,242.01,226.07,230.255,58932489.608156
2026-06-25,230.2,232.6,225.11,232.195,66973801.763919994
2026-06-26,232.228,238.11,227.86,231.78,74741886.628406
2026-06-27,232.01,232.16,231.57,231.57,2.153
2026-06-28,235.0,246.74,231.949,242.282,74591719.027915
2026-06-29,242.24,242.281,236.926,239.84,60970834.26989
2026-06-30,239.85,243.58,234.925,242.335,65536242.323493995
2026-07-01,242.35,245.93,240.965,245.77,51621710.571185
2026-07-02,245.792,246.675,242.192,242.56,29033219.408896
2026-07-03,242.79,242.81,242.79,242.81,0.092
2026-07-04,242.82,242.82,242.51,242.51,0.1027
2026-07-05,243.68,246.185,240.95,245.42,13780250.973726
2026-07-06,245.42,248.768,242.69,243.81,43589106.613816
2026-07-07,243.71,246.76,240.51,240.94,33315641.354023002
2026-07-08,240.93,244.225,238.275,241.615,32905389.299515
2026-07-09,241.605,251.01,240.92,246.27,37699597.265962005
2026-07-10,246.24,252.068,244.45,245.46,19637307.911277
2026-07-11,245.69,245.69,245.62,245.62,0.1234
2026-07-12,245.71,249.35,243.68,247.9,18344654.347869
2026-07-13,247.91,249.64,243.96,245.46,32343806.088035
2026-07-14,245.5,256.2,244.61,254.74,38769605.740834
2026-07-15,254.67,258.401,252.61,256.299,61740733.051446
2026-07-16,256.32,256.65,243.73,248.65,51455042.94180301
2026-07-17,248.68,249.4,246.37,247.08,24279538.212226003
2026-07-18,246.33,246.89,246.2,246.2,6.3009
2026-07-19,246.5,252.13,246.5,251.79,10820893.274432
2026-07-20,251.87,252.9,246.74,247.7,33961944.498796
2026-07-21,247.65,248.81,243.275,243.95,29059659.260889
2026-07-22,243.97,247.177,232.06,233.74,48308782.878047004
2026-07-23,233.69,235.889,231.36,233.15,40646445.133943
2026-07-24,233.17,234.31,231.375,231.43,20487846.551012997
2026-07-25,231.77,232.54,231.41,232.54,12.3842
2026-07-26,232.56,235.991,231.575,231.895,18845493.882573
2026-07-27,231.92,234.044,228.13,231.225,37907959.863442
2026-07-28,231.25,232.96,227.2,227.895,42424759.615981
2026-07-29,227.9,238.69,224.45,238.19,65030677.778772004
2026-07-30,238.184,272.05,234.78,268.89,180034565.294478
2026-07-31,268.84,273.23,268.84,268.96,63559613.771664
2026-08-01,269.16,270.93,268.89,270.93,40.3838
2026-08-02,270.93,287.155,268.99,285.33,56096685.815544
2026-08-03,285.38,285.89,275.205,277.55,76666673.31205799
2026-08-04,277.611,282.79,272.86,272.931,64355356.154681
2026-08-05,272.9,275.485,270.74,273.22,48636414.535796
2026-08-06,273.175,278.28,271.09,277.42,29219865.22441
2026-08-07,277.359,277.42,273.93,275.01,27020424.345688
2026-08-08,275.03,275.09,273.96,274.78,13.7945
