date,open,high,low,close,volume
2026-02-16,326.01,328.07,316.31,327.21,5420938.0
2026-02-17,327.31,337.88,326.0,337.64,15931814.0
2026-02-18,337.47,338.15,329.68,337.46,10162493.0
2026-02-19,337.5,340.11,329.58,338.04,13971490.0
2026-02-20,338.01,338.43,331.2,332.7,8744219.0
2026-02-22,331.91,338.5,327.08,331.16,4726406.063689
2026-02-23,331.18,333.7996,314.45,323.725,15804766.521410998
2026-02-24,324.1,335.91,322.02,331.3,14889106.248019997
2026-02-25,331.305,335.945,307.93,309.715,21983863.132540997
2026-02-26,310.15,324.0,309.74,318.555,24669062.639196
2026-02-27,318.55,320.0,316.11,317.6861,10835659.37973
2026-03-01,312.43,319.55,307.2,314.66,6242890.014424
2026-03-02,314.82,320.04,307.4,309.09,16683870.992453001
2026-03-03,309.005,322.64,308.88,321.76,17162620.550775
2026-03-04,321.78,342.24,308.0,333.485,47854968.327102
2026-03-05,333.54,339.62,317.53,336.59,38328150.550057
2026-03-06,336.58,343.51,328.42,330.8135,22797352.768764995
2026-03-08,332.76,343.135,316.39,342.89,15827310.031807
2026-03-09,343.03,353.14,340.89,347.23,30733917.069700003
2026-03-10,347.1,348.4,339.99,340.93,19807629.781634
2026-03-11,341.01,342.91,332.2,336.06,17387764.834506
2026-03-12,336.11,339.83,322.92,323.16,19224536.839847002
2026-03-13,323.185,325.93,321.0,321.09,15628042.717034
2026-03-15,321.84,329.2,320.06,327.44,10033636.578776998
2026-03-16,327.4,329.13,317.7,318.97,24368147.731372
2026-03-17,318.93,325.44,317.25,319.855,31379065.078900006
2026-03-18,319.795,319.91,308.51,318.45,17839591.497612998
2026-03-19,318.27,323.27,314.4,317.0,18550839.245695002
2026-03-20,316.82,318.78,309.92,313.1,12623364.593357
2026-03-22,313.0,326.48,303.05,319.8,11198640.709985998
2026-03-23,319.755,325.56,314.84,318.78,16993539.836886
2026-03-24,318.52,324.3,315.5601,320.53,16857130.810273997
2026-03-25,320.51,321.92,311.9001,315.0,14779416.293122001
2026-03-26,314.92,315.135,301.83,303.875,16509126.209591
2026-03-27,303.88,304.35,298.29,298.29,11921234.901707001
2026-03-29,299.99,304.77,292.42,296.53,9934421.681461
2026-03-30,296.4,303.67,289.9,300.45,20421372.511526
2026-03-31,300.25,315.7,300.21,314.76,19952927.89436
2026-04-01,314.75,315.79,301.7485,312.74,14291152.683766002
2026-04-02,312.67,314.85,309.91,314.1999,5921685.989923999
2026-04-05,314.0,318.5,310.28,314.18,4978776.592092
2026-04-06,314.16,330.0,310.55,326.56,15862708.467138998
2026-04-07,326.6,354.14,326.52,349.29,31668742.023288
2026-04-08,349.25,357.75,345.05,357.69,20311806.181577
2026-04-09,357.76,376.55,353.5,371.81,23236288.451589
2026-04-10,371.87,374.51,370.6,371.55,10721877.824907
2026-04-12,364.98,375.88,359.42,373.14,8668618.360795
2026-04-13,373.185,382.28,368.1,380.24,20072908.926018998
2026-04-14,380.155,396.5699,378.27,392.52,23209401.62466
2026-04-15,392.45,399.68,388.5,398.385,18087091.694459997
2026-04-16,398.49,405.4,395.94,402.15,16609658.795469
2026-04-17,402.12,406.725,401.52,406.06,6626671.105656
2026-04-19,406.04,406.42,395.9,397.03,7394120.709639
2026-04-20,397.055,403.43,394.57,401.35,13029282.099477
2026-04-21,401.58,417.7899,399.05,416.22,15759835.37573
2026-04-22,416.43,429.31,415.2,428.03,18805067.971565
2026-04-23,428.16,428.9,408.86,419.56,18030353.392171998
2026-04-24,419.88,423.78,418.23,420.1,8014161.265298
2026-04-26,419.81,426.21,414.63,416.12,6942892.9307510005
2026-04-27,416.17,419.01,394.65,395.35,19087205.055213
2026-04-28,395.29,404.8,394.925,399.44,13985243.542585
2026-04-29,399.49,418.38,396.78,413.005,15839016.999458998
2026-04-30,412.97,422.22,412.07,421.89,11238787.778941
2026-05-01,421.85,423.17,419.5825,420.27,4771958.246356
2026-05-03,420.6,423.83,410.9,412.64,6299554.12211
