date,open,high,low,close,volume
2026-01-25,981.99,993.0,978.78,983.45,514000.0
2026-01-26,983.35,984.515,961.71,966.16,1673556.0
2026-01-27,966.35,971.35,961.05,965.875,1511454.0
2026-01-28,965.67,965.91,950.68,958.22,1553844.0
2026-01-29,957.585,960.3,933.0,936.535,1490342.0
2026-01-30,936.82,942.47,930.3,937.8596,1316707.0
2026-02-01,930.0,953.67,930.0,953.45,558527.0
2026-02-02,954.13,983.6264,952.7701,979.92,2042521.0
2026-02-03,980.055,994.5999,972.73,984.64,2477153.0
2026-02-04,984.76,1000.95,975.19,996.85,2390288.0
2026-02-05,997.8,999.12,982.3,993.125,2031363.0
2026-02-06,993.14,1001.365,992.6,998.9225,1338005.0
2026-02-08,998.27,1009.62,994.5,1004.17,515526.0
2026-02-09,1003.44,1004.54,982.99,984.26,1265621.0
2026-02-10,984.49,985.555,967.1201,978.18,1221658.0
2026-02-11,978.13,997.44,977.56,996.12,1486770.0
2026-02-12,996.045,1019.71,993.7201,1017.39,2842567.0
2026-02-13,1017.62,1022.88,1013.21,1016.2,1388626.0
2026-02-16,1014.99,1028.44,1010.99,1012.79,396909.0
2026-02-17,1013.43,1018.42,1004.72,1011.62,1266097.0
2026-02-18,1010.3,1014.055,984.49,999.62,1373114.0
2026-02-19,999.0,999.21,977.81,983.98,1246145.0
2026-02-20,983.37,986.62,978.01,986.0,763225.0
2026-02-22,986.16,991.305,979.891,989.085,343538.75344099995
2026-02-23,988.01,996.63,978.06,992.53,1099557.0377129999
2026-02-24,992.255,1002.5,991.765,993.27,1075963.1298170001
2026-02-25,993.75,1005.5199,984.785,987.28,1240147.347099
2026-02-26,986.5,997.6,982.96,993.9,1180306.907574
2026-02-27,994.49,1014.19,993.8,1005.4144,1798336.803328
2026-03-01,1000.01,1020.82,1000.01,1008.68,471306.467764
2026-03-02,1008.745,1014.38,997.52,1004.31,1411331.9006710001
2026-03-03,1003.99,1015.75,997.0,1006.1,1386060.2945329999
2026-03-04,1007.075,1014.0,982.94,984.66,1443500.90292
2026-03-05,984.0,1006.74,960.46,997.0,2422537.528867
2026-03-06,996.57,1002.5,993.0001,996.0,1321554.7217660001
2026-03-08,987.03,1006.0,978.01,1001.035,863244.800332
2026-03-09,1001.19,1007.6931,996.0,1004.31,1493504.814825
2026-03-10,1004.29,1010.1,987.89,992.28,1141130.681482
2026-03-11,991.38,1000.55,984.0,998.92,1009271.9678409998
2026-03-12,999.82,1012.83,998.01,1009.03,1327599.8308330001
2026-03-13,1009.48,1011.2701,1004.561,1008.0,596238.3723399999
2026-03-15,1008.42,1013.08,995.4301,998.4,458611.1272530001
2026-03-16,999.58,1008.095,998.905,1005.92,871985.009256
2026-03-17,1005.27,1005.6,985.5,987.94,820529.708048
2026-03-18,987.69,990.45,970.41,974.56,1125130.1235159999
2026-03-19,975.06,980.84,971.0,977.515,1352529.656682
2026-03-20,976.9,980.76,970.54,974.3,727022.105951
2026-03-22,973.0,993.0,964.53,974.315,490069.756875
2026-03-23,973.56,981.28,961.0,979.01,1016300.445879
2026-03-24,976.64,980.87,968.0504,977.86,785049.454377
2026-03-25,977.38,987.19,971.0,982.27,765588.4892790001
2026-03-26,982.99,987.11,977.11,984.725,1016092.004843
2026-03-27,984.28,986.0,980.0,981.1,741901.8407030001
2026-03-29,980.5,1005.54,980.03,1001.225,652868.560798
2026-03-30,1001.35,1008.6,989.51,993.53,1365553.5416400002
2026-03-31,993.515,1003.13,985.85,994.21,1570483.940676
2026-04-01,994.16,1016.0,992.0001,1005.34,1291760.064112
2026-04-02,1006.16,1015.0,1004.8201,1014.0,846700.3574130001
2026-04-05,1013.59,1017.46,1004.01,1016.73,458382.6562959999
2026-04-06,1016.735,1021.41,1009.181,1011.99,945237.569955
2026-04-07,1011.68,1026.0,1000.0,1024.305,1490195.301711
2026-04-08,1024.175,1035.01,1022.11,1031.585,1499830.3891009998
2026-04-09,1031.44,1035.82,1000.85,1005.03,1301413.4605059999
2026-04-10,1004.865,1006.61,995.5,999.5,1209416.745992
2026-04-12,1002.05,1003.3746,981.61,983.56,555980.1283270001
2026-04-13,983.72,988.0,966.0,971.4,1724040.681502
2026-04-14,971.77,978.6999,967.52,976.345,1421427.5032539999
2026-04-15,976.51,995.748,975.56,988.08,1769593.153137
2026-04-16,987.93,992.82,977.0,987.93,1387081.9383689999
2026-04-17,988.47,1000.67,987.9,999.4015,1076934.7217160002
2026-04-19,999.37,1011.3,992.02,1003.87,529249.082841
2026-04-20,1003.865,1003.885,986.7,998.655,1004309.573097
2026-04-21,999.53,1008.11,998.29,1007.07,875493.789568
2026-04-22,1007.06,1015.0,1000.0,1011.75,886355.850977
2026-04-23,1011.72,1016.6,1002.5,1010.025,1168891.2591509998
2026-04-24,1010.52,1012.77,1006.0,1009.85,704497.634698
2026-04-26,1009.52,1014.41,1002.0,1010.42,398699.15807099995
2026-04-27,1010.215,1012.65,989.55,997.81,1116686.5820039997
2026-04-28,997.99,998.6,985.11,989.33,823217.0545300001
2026-04-29,993.14,1016.61,990.66,1011.2,1150262.833407
2026-04-30,1010.78,1031.265,1008.9,1021.02,1228827.7173279999
2026-05-01,1019.875,1021.0225,1006.32,1009.0,590972.597084
2026-05-03,1010.0,1024.72,1002.21,1014.73,413908.95053999993
2026-05-04,1015.44,1020.6782,1008.6807,1012.66,870312.6303470001
2026-05-05,1013.895,1020.78,992.42,997.0,1259342.711746
2026-05-06,995.58,1002.87,990.66,996.5,1310574.6272810001
2026-05-07,998.28,1014.42,996.69,1011.545,1244484.048142
2026-05-08,1012.04,1016.0,1005.11,1008.33,806535.0574180001
2026-05-10,1007.17,1008.86,985.15,989.99,715618.3774009999
2026-05-11,990.08,1024.46,989.63,1021.51,1692513.659509
2026-05-12,1021.05,1042.52,1013.0,1026.56,1458701.158115
2026-05-13,1026.845,1037.0,1022.66,1034.04,964920.691118
2026-05-14,1033.6,1059.83,1031.9951,1043.4,1378234.218974
2026-05-15,1043.68,1049.59,1039.47,1047.1339,767632.932741
2026-05-17,1048.04,1070.67,1041.98,1064.0,719561.4482780001
2026-05-18,1064.52,1096.5,1063.1001,1094.08,1985929.8691160001
2026-05-19,1093.94,1095.99,1073.6872,1084.8,1807771.2271240002
2026-05-20,1085.47,1088.8,1039.01,1046.01,1802384.3115410001
2026-05-21,1046.22,1054.0,1025.19,1031.43,1501222.035857
