date,open,high,low,close,volume
2026-01-25,228.99,230.87,226.52,229.9,1697078.0
2026-01-26,229.955,237.45,227.4,227.945,7985169.0
2026-01-27,227.935,231.86,226.27,229.0,6929416.0
2026-01-28,229.08,231.14,208.78,210.91,12995774.0
2026-01-29,210.9,215.55,210.06,213.86,11681447.0
2026-01-30,214.04,214.1855,211.03,211.61,7086519.0
2026-02-01,211.75,216.89,207.69,215.255,2023814.0
2026-02-02,215.25,215.26,197.42,198.29,10715842.0
2026-02-03,197.92,199.74,187.28,197.975,22882660.0
2026-02-04,198.08,201.14,191.28,191.555,16719943.0
2026-02-05,191.86,194.6,187.1201,189.79,19019487.0
2026-02-06,189.85,191.7092,187.83,191.55,8613081.0
2026-02-08,191.56,194.65,185.73,194.51,3396804.0
2026-02-09,194.67,199.1,187.0,196.54,12372302.0
2026-02-10,195.935,196.89,183.665,184.96,11745078.0
2026-02-11,184.65,188.32,181.81,182.18,14464574.0
2026-02-12,182.24,193.45,180.24,191.04,15783084.0
2026-02-13,191.21,191.85,188.28,189.8,6636308.0
2026-02-16,193.0,193.0,183.17,184.465,4375016.0
2026-02-17,184.52,187.3516,181.8645,187.13,10631777.0
2026-02-18,187.2,188.9,183.23,185.045,8800512.0
2026-02-19,185.13,191.73,183.462,188.29,8600772.0
2026-02-20,188.42,188.47,183.73,185.67,6106527.0
2026-02-22,185.41,187.04,174.68,175.875,5289362.934272001
2026-02-23,176.005,188.67,174.57,186.28,16008817.989649002
2026-02-24,186.16,191.26,181.51,189.44,12468750.713061
2026-02-25,189.39,199.89,180.3,198.44,27338629.183202997
2026-02-26,198.46,201.035,189.9248,191.98,18400320.902432
2026-02-27,192.26,195.92,191.1701,194.464,7988984.226805001
2026-03-01,193.01,195.94,187.01,193.67,2967930.5394300004
2026-03-02,193.55,194.01,187.24,191.73,9155817.271727
2026-03-03,191.67,198.69,191.43,194.82,11992688.448823001
2026-03-04,195.08,203.48,192.49,200.82,12790690.177024001
2026-03-05,201.16,204.42,193.08,201.575,11159343.930076
2026-03-06,201.655,202.96,199.11,200.53,5550934.918646
2026-03-08,200.39,203.67,194.02,199.5,3963116.904267
2026-03-09,199.405,200.2809,190.6,194.82,10235187.022108
2026-03-10,194.625,199.57,191.54,192.12,11381131.934136
2026-03-11,192.115,204.855,191.2876,200.35,14286000.613271
2026-03-12,200.18,201.5,192.02,192.48,18412672.679832
2026-03-13,192.29,193.81,191.71,192.3,7908965.829814999
2026-03-15,196.09,198.32,191.49,197.71,3607224.4232469997
2026-03-16,197.54,202.38,195.51,197.315,9866456.058713
