date,open,high,low,close,volume
2026-02-13,647.565,651.4299,638.55,638.64,6028545.0
2026-02-16,643.96,643.96,628.8,634.47,4005376.0
2026-02-17,634.81,657.0,628.145,640.64,11806330.0
2026-02-18,640.62,645.37,636.2001,643.64,10637994.0
2026-02-19,643.735,661.44,638.78,661.26,11323931.0
2026-02-20,661.34,663.3499,653.35,655.24,6806421.0
2026-02-22,654.32,657.7,643.75,644.095,2560715.0211869995
2026-02-23,644.24,645.0,628.98,636.75,7966630.06343
2026-02-24,636.74,651.61,636.19,648.66,7626782.907371
2026-02-25,648.805,661.0,646.49,651.9,8726968.043040998
2026-02-26,652.26,659.2,639.6101,646.02,7905739.294160999
2026-02-27,645.9,649.105,638.12,645.2094,7191710.203178001
2026-03-01,636.51,655.32,632.05,654.705,2917343.9775080006
2026-03-02,654.82,659.94,637.0,644.88,8784345.729489
2026-03-03,645.005,672.12,644.55,670.975,9217368.785725
2026-03-04,670.93,672.77,657.84,660.69,8434349.241622
2026-03-05,661.31,667.73,636.11,648.99,10811799.960219001
2026-03-06,648.49,649.2547,641.1,641.326,6689414.861289
2026-03-08,641.0,641.0,626.25,636.575,5128601.992179
2026-03-09,636.705,660.3,633.01,657.03,9687200.650712
2026-03-10,656.87,659.88,648.36,649.85,7285317.67753
2026-03-11,649.28,655.61,639.363,641.61,6283703.744857
2026-03-12,641.72,642.71,615.1581,617.58,14526770.600052001
2026-03-13,617.41,619.6699,609.55,610.96,8283500.257561
2026-03-15,612.9,634.75,611.653,627.13,7450919.605941
2026-03-16,626.92,636.55,621.3,626.95,10232057.141167
2026-03-17,626.7,627.0,615.31,620.64,9396259.968516001
2026-03-18,620.31,621.18,605.07,606.55,10417660.606224
2026-03-19,606.64,609.49,591.7286,594.68,12928534.361641001
2026-03-20,594.805,598.7,587.25,597.89,7412055.088331
2026-03-22,598.0,610.0,583.19,604.71,6416613.103813999
2026-03-23,604.61,607.8699,592.04,594.34,8603729.074392999
2026-03-24,594.22,603.67,591.0,599.315,10447111.303004
2026-03-25,599.535,602.56,556.0,556.92,20557383.887216996
2026-03-26,556.475,557.37,526.53,529.61,30862599.138413
2026-03-27,529.705,530.49,520.0,520.0732,14302546.774424002
2026-03-29,521.1,539.56,517.77,537.915,10704309.490242999
2026-03-30,538.03,559.06,531.85,556.6,20653610.069983
2026-03-31,556.655,585.0,556.39,583.39,23750311.038303997
2026-04-01,583.5,592.5465,559.7,570.8,19334987.12803
2026-04-02,570.9,575.61,569.5,574.78,4680673.355473
2026-04-05,574.99,583.8,571.0,578.215,3345067.1217419994
2026-04-06,578.4,580.2399,564.76,567.17,7691128.070877001
2026-04-07,567.565,608.96,565.5,596.76,13041200.111326002
2026-04-08,597.04,635.145,596.755,634.465,31375633.411238007
2026-04-09,634.585,638.58,625.355,625.69,13719144.104063999
2026-04-10,626.3,630.85,624.33,630.85,5410239.1447439995
2026-04-12,621.14,633.7,610.84,627.36,4047402.247932
2026-04-13,627.66,664.88,626.095,663.43,12285910.371571999
2026-04-14,663.11,676.165,657.5136,674.85,13637884.226035
2026-04-15,674.91,678.5,667.75,676.09,9515899.295311
2026-04-16,676.14,687.79,671.8701,683.235,10388270.064781
2026-04-17,682.96,691.52,682.03,686.9653,6807425.965294998
2026-04-19,684.6,685.0,668.0,672.85,6560230.972602
2026-04-20,672.675,676.47,667.75,671.05,7109058.61266
2026-04-21,671.35,677.0,667.33,674.89,7151873.95148
2026-04-22,675.04,678.38,657.14,666.18,8265597.625373
2026-04-23,666.34,676.53,653.05,675.35,10736122.145446
2026-04-24,675.45,680.67,673.96,675.18,6045761.7810969995
2026-04-26,675.99,682.5,669.91,674.7,5776852.304438001
2026-04-27,674.76,683.0,665.625,668.83,9725677.130901
2026-04-28,668.85,674.6,663.8084,669.12,8809626.585572002
2026-04-29,669.0,675.0,599.99,608.04,41230709.988668
2026-04-30,608.02,619.92,605.5524,611.7,29141264.480186004
2026-05-01,612.13,615.98,608.38,608.8,9872094.049669
2026-05-03,609.01,613.7499,602.7501,608.53,7949767.906204999
2026-05-04,608.565,615.0,601.43,602.15,13196624.943434
2026-05-05,602.195,619.95,598.1,613.33,19569223.048945
2026-05-06,612.98,624.98,609.01,622.26,11458068.02944
2026-05-07,622.32,622.33,606.0601,607.35,10756618.265027
2026-05-08,607.35,611.5,607.26,609.7,5624551.684088999
2026-05-10,609.75,609.91,599.8001,603.27,6709353.214361
2026-05-11,603.1,604.39,592.6,600.475,11818317.53955
2026-05-12,600.42,609.375,596.5271,608.425,10024515.835950999
2026-05-13,608.45,623.19,608.0612,621.675,12033164.032278
2026-05-14,621.88,623.73,606.14,613.45,10143389.972949
2026-05-15,613.6,621.1999,610.05,610.05,5572689.709892999
2026-05-17,610.01,612.64,603.69,607.43,6195962.472258001
2026-05-18,607.62,615.59,602.02,602.845,10927894.879896
2026-05-19,602.94,608.0,597.81,606.26,10175380.468626
2026-05-20,606.345,607.01,594.8083,603.7,9352060.26953
2026-05-21,603.73,614.81,596.85,609.495,8934154.588055
2026-05-22,609.16,612.035,607.0,607.81,4877320.0042779995
2026-05-25,607.99,614.84,605.3001,607.24,5690546.043931
2026-05-26,607.22,616.8,607.0,611.69,9060447.431739999
2026-05-27,611.71,643.9,609.21,632.48,24092229.124418
2026-05-28,632.12,635.7,623.35,627.77,11395846.717888
2026-05-29,627.65,634.51,623.821,632.59,8099614.900328999
2026-05-31,634.74,637.51,609.15,616.083,10663808.679577
2026-06-01,616.094,616.7,596.8,607.258,23490533.584728
2026-06-02,607.239,619.81,597.275,613.31,17436750.203943
2026-06-03,613.309,640.42,611.69,637.459,20316864.441159
2026-06-04,637.458,642.32,611.37,613.031,14802261.921948
2026-06-05,612.86,613.004,582.96,589.658,19582224.205922004
2026-06-07,593.01,600.43,579.23,587.477,6580825.720923001
2026-06-08,587.59,597.52,584.71,587.433,12739028.852068
2026-06-09,587.428,591.422,575.05,579.657,12316194.367957
2026-06-10,579.643,579.747,557.03,560.915,13854249.349791998
2026-06-11,560.914,577.529,557.93,569.186,13084819.174408
2026-06-12,569.215,572.71,563.01,569.25,6467801.900241001
2026-06-14,568.96,600.58,568.82,599.815,7803188.007192
2026-06-15,599.821,605.82,590.74,595.259,11779930.975847
2026-06-16,595.249,601.33,579.67,580.553,10961240.722175
2026-06-17,580.577,581.37,563.105,577.057,19619726.816019
2026-06-18,576.86,580.15,573.08,576.4,8496639.852642002
2026-06-19,576.4,577.15,573.37,576.4,2.5771
2026-06-20,577.08,577.42,573.37,574.25,1.3025
2026-06-21,574.25,577.13,559.83,562.688,6841962.109318
2026-06-22,562.705,572.19,557.53,564.105,10301795.270475
2026-06-23,564.22,568.92,557.47,562.977,10301059.983556
2026-06-24,562.98,564.431,540.195,549.85,12396365.606704999
2026-06-25,549.94,556.635,538.51,555.91,12406682.701356
2026-06-26,555.863,556.827,547.99,549.85,6819963.039256
2026-06-27,550.79,553.2,549.82,549.82,0.4104
2026-06-28,550.88,570.88,549.82,564.788,11676113.633592
2026-06-29,564.84,567.26,551.56,557.22,14368020.039613
2026-06-30,557.29,628.29,555.31,617.83,40211303.957922
2026-07-01,617.5,622.79,585.91,587.35,28050330.546337
2026-07-02,587.18,587.59,580.45,584.08,11418636.160845999
2026-07-03,584.52,585.47,583.85,585.2,0.3376
2026-07-04,584.6,585.7,584.54,585.15,0.5556
2026-07-05,585.73,597.31,581.93,592.72,5745451.339258001
2026-07-06,592.82,615.92,591.727,605.36,18582811.051459998
2026-07-07,605.065,625.16,600.25,603.855,16341070.248036997
2026-07-08,603.92,610.09,577.1,608.02,20037009.770289
2026-07-09,608.49,677.85,608.0,669.89,41169724.842041
2026-07-10,669.99,671.83,662.0,669.49,16981685.790048003
2026-07-11,670.42,670.43,668.41,670.17,4.9221
2026-07-12,668.99,676.61,654.3,660.237,11652991.530949
2026-07-13,660.39,664.41,645.53,656.675,17035181.532021
2026-07-14,656.43,684.99,655.19,683.7,19498950.946576998
2026-07-15,683.68,689.64,645.491,674.59,18097200.27421
2026-07-16,674.51,674.609,626.19,632.73,17961600.715755
2026-07-17,632.805,652.08,630.36,639.96,16692590.263895
2026-07-18,639.78,640.76,639.63,640.09,0.5488
2026-07-19,640.14,650.04,636.39,646.985,3901259.438482999
2026-07-20,646.98,655.435,642.373,647.445,9703642.176296
2026-07-21,647.355,650.65,627.85,628.95,10843984.024400001
2026-07-22,628.91,630.7,597.26,601.87,13952548.935466003
2026-07-23,601.28,610.974,600.001,605.57,13465031.815844
2026-07-24,605.6,605.89,594.15,594.73,7481098.533878
2026-07-25,595.07,597.62,595.06,596.67,104.3552
2026-07-26,597.71,610.845,595.446,601.055,6063035.081824
2026-07-27,601.11,601.7,587.04,595.229,17097707.696461
2026-07-28,595.51,598.85,585.42,586.76,12367982.500337001
2026-07-29,586.78,599.89,518.64,532.11,41234830.506995
2026-07-30,532.268,557.94,529.79,545.827,39969013.566015
2026-07-31,545.827,558.52,545.49,552.55,14913692.672168
2026-08-01,553.1,559.09,548.1,554.93,142.4015
