date,open,high,low,close,volume
2026-02-16,403.76,403.76,394.525,397.68,8987829.0
2026-02-17,397.83,401.94,394.701,401.84,23113143.0
2026-02-18,401.91,404.43,397.88,400.74,20057905.0
2026-02-19,400.76,401.08,395.16,399.68,26638438.0
2026-02-20,399.64,400.12,395.97,397.0,16990711.0
2026-02-22,397.06,397.31,385.524,385.64,16105251.130162
2026-02-23,385.655,389.36,381.71,386.8,34159820.719939
2026-02-24,386.86,400.25,385.6,398.75,29548799.69406
2026-02-25,398.62,407.49,396.0,402.06,34042014.92271
2026-02-26,402.13,404.1799,389.8,395.93,26788694.287733
2026-02-27,395.97,396.82,390.15,394.1697,20928709.703148
2026-03-01,389.28,399.75,385.73,399.435,11219673.311415
2026-03-02,399.34,401.19,389.5,396.075,24122155.220225003
2026-03-03,395.9,406.7,395.83,405.19,30129240.035374995
2026-03-04,405.19,411.61,402.4092,407.05,29887819.265203
2026-03-05,407.13,413.05,405.2,411.185,29117018.595686004
2026-03-06,410.99,412.87,407.0801,407.61,16633994.879632
2026-03-08,404.99,409.17,397.52,408.25,11595514.408180002
2026-03-09,408.15,411.64,402.93,406.6,24522026.956668
2026-03-10,406.375,409.01,401.59,403.09,25147123.229792
2026-03-11,402.77,405.81,400.8,403.92,17180075.785416
2026-03-12,403.9,406.12,395.4,395.62,22794188.161041
2026-03-13,395.53,397.385,394.25,395.1,11681240.946095001
2026-03-15,396.07,399.29,394.79,398.22,9656764.500492
2026-03-16,398.15,404.4,397.01,398.86,21635747.387788
2026-03-17,398.79,401.89,394.33,394.97,16860065.066705998
2026-03-18,394.92,395.14,388.01,389.6,22084497.999893002
2026-03-19,389.58,391.0,382.26,384.28,27290782.639046
2026-03-20,384.28,385.35,380.12,383.51,16376641.476316998
2026-03-22,383.5,391.0,376.4,383.44,11056208.418784
2026-03-23,383.57,386.21,372.28,372.675,30709781.846964
2026-03-24,372.74,379.69,369.74,370.53,31644432.495501
2026-03-25,370.38,374.7199,367.74,368.0,28768875.887889
2026-03-26,367.865,368.65,356.58,360.21,32424201.615640007
2026-03-27,360.28,360.71,356.07,356.15,15980388.516181001
2026-03-29,356.99,365.36,354.45,363.72,15843738.121716002
2026-03-30,363.73,368.15,356.28,363.93,33629698.52301
2026-03-31,363.85,376.55,363.67,372.21,33152480.007465
2026-04-01,372.16,372.89,363.25,370.29,20616625.886834
2026-04-02,370.285,374.25,369.395,373.3999,10017061.565999001
2026-04-05,374.25,376.58,369.5014,371.59,6615570.765842
2026-04-06,371.595,374.7,366.56,369.23,14175585.244102
2026-04-07,369.29,386.29,368.65,378.54,23622873.217636
2026-04-08,378.53,379.0,367.05,370.23,26893654.709887
2026-04-09,370.16,375.64,368.85,370.73,25032170.765457
2026-04-10,370.73,372.42,370.03,371.6999,11315617.561471999
2026-04-12,371.99,381.1299,366.92,379.875,14429901.094823001
2026-04-13,379.89,394.4699,373.69,393.55,31571943.800551005
2026-04-14,393.61,408.89,390.3141,407.195,34268614.543545
2026-04-15,406.94,420.92,406.825,419.41,39296272.21208301
2026-04-16,419.53,431.59,417.01,428.19,39404658.037619
2026-04-17,428.08,429.4799,420.69,422.34,18334430.346765
