date,open,high,low,close,volume
2026-02-16,184.41,184.41,179.18,181.76,51063030.0
2026-02-17,181.87,190.23,181.75,189.88,153123333.0
2026-02-18,189.855,190.38,185.66,187.92,126593348.0
2026-02-19,187.91,190.18,185.79,190.06,132949938.0
2026-02-20,190.075,190.33,187.62,189.9985,100957563.0
2026-02-22,187.42,193.96,187.05,190.24,63493092.721338995
2026-02-23,190.255,193.11,187.4,192.21,151145301.522299
2026-02-24,192.23,196.56,191.875,196.205,155211357.36152202
2026-02-25,196.2,203.49,184.58,186.315,318396688.346835
2026-02-26,186.285,188.12,179.57,181.53,276383091.683839
2026-02-27,181.49,181.94,176.38,177.8,165804072.34094802
2026-03-01,174.85,181.38,173.1,180.67,81035848.082284
2026-03-02,180.67,183.46,176.0,177.53,171142622.587671
2026-03-03,177.51,183.65,176.99,182.815,158613396.777123
2026-03-04,182.81,184.7,180.8,183.91,154564774.08309197
2026-03-05,183.9,184.06,177.88,181.96,181100157.198497
2026-03-06,181.89,182.49,176.8201,178.03,115739381.305411
2026-03-08,174.99,180.13,172.99,179.72,72661026.232813
2026-03-09,179.73,186.44,179.02,185.935,161910643.516457
2026-03-10,185.895,187.62,183.25,185.615,148971353.431283
2026-03-11,185.66,186.08,181.74,184.315,121230034.95942499
2026-03-12,184.355,186.09,180.75,181.085,145943290.209374
2026-03-13,181.06,181.76,179.935,180.1982,70083954.695932
2026-03-15,180.85,185.05,180.25,184.15,65502380.060657986
2026-03-16,184.09,188.88,181.41,182.18,218191313.31931996
2026-03-17,182.19,183.98,180.72,182.46,150647829.509484
2026-03-18,182.45,183.15,175.785,178.295,152672042.625456
2026-03-19,178.245,179.98,175.0,175.85,161809135.458961
2026-03-20,175.84,177.76,171.72,174.9,96966803.03121899
2026-03-22,173.25,179.3,169.34,175.12,93619619.43793699
2026-03-23,175.14,177.09,173.98,175.34,137302333.304042
2026-03-24,175.37,181.22,174.385,179.365,149359001.533018
2026-03-25,179.39,179.57,173.01,174.635,136498928.14293098
2026-03-26,174.64,174.735,167.54,169.555,178757281.673246
2026-03-27,169.53,169.64,166.45,166.6,81122112.657728
2026-03-29,166.59,169.6,164.71,167.31,79550201.663398
2026-03-30,167.385,171.38,162.94,169.86,161905632.505808
2026-03-31,169.825,177.3,169.755,177.1,185771367.80745098
2026-04-01,177.1,177.37,170.21,176.515,144952343.255715
2026-04-02,176.51,177.49,175.72,176.6999,52487911.505198
2026-04-05,176.98,179.15,175.1,177.435,52388877.706847
2026-04-06,177.435,177.68,173.66,175.225,99395498.11986801
2026-04-07,175.24,185.26,174.965,181.68,143913115.042152
2026-04-08,181.645,183.58,180.0,183.41,101779356.75494099
2026-04-09,183.45,190.0,182.36,188.43,135834015.62998
2026-04-10,188.44,189.75,187.93,188.37,59649523.517248005
2026-04-12,188.37,189.67,183.0,188.25,62422365.49194
2026-04-13,188.27,194.3899,187.85,194.03,126432228.321563
2026-04-14,194.025,200.4,193.986,199.695,156165923.11094
2026-04-15,199.67,200.22,195.74,199.0,143286180.70562598
2026-04-16,198.985,201.68,197.3,200.405,135780062.627646
2026-04-17,200.43,201.88,199.46,200.98,60059909.279522
2026-04-19,200.12,201.176,197.8397,198.655,57525913.551237
2026-04-20,198.58,202.97,198.5701,200.72,96862836.090015
2026-04-21,200.82,201.87,199.0,201.22,98697879.65085799
2026-04-22,202.254,203.773,200.544,201.467,93462842.302385
2026-04-23,201.475,209.88,197.294,209.117,159920244.21148998
2026-04-24,209.119,210.891,207.597,208.102,87866203.747648
2026-04-26,208.101,212.03,207.445,210.571,72739818.801108
2026-04-27,210.587,218.785,208.422,209.721,195620293.575721
2026-04-28,209.728,214.699,209.371,210.673,120401296.94884701
2026-04-29,210.67,211.565,198.819,200.624,164903094.70051703
2026-04-30,200.633,202.853,197.35,199.097,149127019.68837398
2026-05-01,199.1,200.235,198.04,198.086,49664988.72337
2026-05-03,198.375,201.616,194.856,195.695,64325975.641591
2026-05-04,195.696,200.165,195.058,197.398,103713950.728294
2026-05-05,197.403,207.109,195.536,204.871,138248122.186353
2026-05-06,204.868,214.116,204.016,212.662,155621072.67454702
2026-05-07,212.668,217.696,209.275,215.524,134649922.055764
2026-05-08,215.516,216.158,214.699,215.039,46534101.214889
2026-05-10,215.4,222.29,213.031,221.966,84879398.94819401
2026-05-11,221.98,223.74,214.96,216.88,136051817.777968
2026-05-12,216.93,227.55,215.58,226.57,140002427.33378696
2026-05-13,226.608,236.45,225.09,234.909,154640256.24778602
2026-05-14,234.88,241.01,224.29,228.094,154331301.576355
2026-05-15,228.19,231.5,224.301,224.424,71498917.65786499
2026-05-17,225.2,230.584,220.43,222.466,72675307.13144
2026-05-18,222.57,223.744,217.94,220.565,120167550.318648
2026-05-19,220.73,226.11,219.05,224.927,130378746.03052999
2026-05-20,224.929,227.36,216.37,219.427,209627325.35013103
