date,open,high,low,close,volume
2026-02-16,417.5,419.29,400.51,404.58,21981300.0
2026-02-17,404.71,415.67,403.42,415.36,50108500.0
2026-02-18,415.28,416.9,404.11,412.91,43520211.0
2026-02-19,412.89,415.2499,405.5,413.34,50219305.0
2026-02-20,413.47,414.7,405.89,411.255,33138877.0
2026-02-22,410.37,411.69,400.64,400.93,19183620.239041004
2026-02-23,400.95,407.71,394.04,404.685,64310028.513715
2026-02-24,404.58,420.34,402.26,415.4,53173761.791334994
2026-02-25,415.5,418.34,404.8301,409.29,50098075.38896
2026-02-26,409.25,410.3,400.9,403.27,45483825.76154
2026-02-27,403.22,403.8599,398.11,401.8,34156699.588267
2026-03-01,397.01,402.65,387.99,401.765,20233845.562397994
2026-03-02,401.84,404.54,385.39,387.54,54877001.143115
2026-03-03,387.56,407.8524,386.08,405.14,61938086.729993
2026-03-04,405.16,408.33,400.29,405.68,53983480.220107004
2026-03-05,405.945,408.62,394.21,398.325,54716653.522004
2026-03-06,398.34,402.35,394.5,394.69,37505753.288119
2026-03-08,393.94,394.78,381.4,389.54,31680082.732233
2026-03-09,389.56,406.59,388.2,402.74,61655447.876854
2026-03-10,402.53,416.3799,397.9,407.04,63336778.113299996
2026-03-11,406.85,409.29,394.65,398.25,54375286.433763996
2026-03-12,398.32,401.05,392.22,393.49,54880833.167883
2026-03-13,393.44,395.9599,389.7001,389.8,28422290.622828003
2026-03-15,390.08,403.73,390.08,398.33,27839679.509892996
2026-03-16,398.265,400.12,393.0,397.11,49660256.988519
2026-03-17,397.04,403.065,395.9,398.26,44511987.70241
2026-03-18,398.11,398.66,379.7232,382.075,57541476.042619996
2026-03-19,382.03,384.95,369.9,375.79,64612287.638120994
2026-03-20,375.74,376.96,364.4601,372.25,37313558.353571996
2026-03-22,368.55,385.33,356.82,378.35,40636200.187004
2026-03-23,378.2,387.48,376.0,382.68,59454070.037088
2026-03-24,382.58,396.24,379.68,388.79,55843363.222341
2026-03-25,388.82,390.16,377.98,379.765,48317375.131435
2026-03-26,379.48,379.8563,361.37,366.85,55414575.511939995
2026-03-27,366.875,366.97,359.47,360.4988,30738415.197263002
2026-03-29,362.99,367.3,355.0,363.195,26378117.842357
2026-03-30,363.325,366.1,351.24,362.59,65123966.288357995
2026-03-31,362.47,383.14,362.38,382.34,66752476.280161
2026-04-01,382.355,382.73,363.02,365.455,61472215.495813
2026-04-02,365.465,366.46,359.03,361.2591,40631318.67173301
2026-04-05,359.0,367.72,352.15,354.425,32705464.824444998
2026-04-06,354.32,354.4,337.24,339.475,77882998.499882
2026-04-07,339.5,365.49,339.18,348.05,74119584.964738
2026-04-08,348.07,349.24,337.25,345.02,67138603.304886
2026-04-09,345.07,350.36,343.36,343.99,52614399.144967
2026-04-10,344.05,352.4,342.74,351.3,23700659.404949
2026-04-12,347.08,356.35,340.23,350.88,26335744.674284007
2026-04-13,350.94,366.13,350.2601,365.6,53251788.379244
2026-04-14,365.64,394.13,362.5,392.02,81535235.534879
2026-04-15,391.93,398.33,381.8,389.755,88658602.490337
2026-04-16,389.89,409.28,384.52,406.23,73681629.291286
2026-04-17,406.155,408.38,399.45,401.0895,36581728.957601
2026-04-19,401.05,406.8,388.33,390.75,37658777.491251
2026-04-20,390.62,396.62,387.68,389.71,48580724.57745001
2026-04-21,389.74,393.01,385.2201,391.03,46600267.23441
2026-04-22,391.02,406.77,368.39,380.69,90659285.37097302
2026-04-23,380.755,382.76,369.76,374.53,66758708.705755
2026-04-24,374.555,377.84,372.3501,375.26,25435479.125187002
2026-04-26,374.99,377.75,364.02,368.19,30386802.245523002
2026-04-27,368.24,382.29,367.85,375.305,63120292.709676005
2026-04-28,375.16,378.71,370.04,370.93,42158573.95198999
2026-04-29,370.9,379.79,368.17,378.06,44750630.018776
2026-04-30,378.045,396.4985,376.67,394.495,55742740.067059
2026-05-01,394.22,397.8211,390.1,391.34,29169741.828969
2026-05-03,392.01,394.64,385.23,387.17,24937462.581444
2026-05-04,387.135,402.12,384.8004,393.0,49286360.524491996
2026-05-05,393.18,395.395,384.02,394.56,38321520.57068
2026-05-06,394.57,415.83,394.1,407.44,59878235.468083985
2026-05-07,407.44,431.2,402.12,428.79,63573444.870939985
2026-05-08,428.93,429.54,424.36,427.9974,23328498.682109002
2026-05-10,428.0,441.65,416.8,437.54,36989312.382158004
2026-05-11,437.67,449.16,424.6,425.075,68020156.803155
2026-05-12,425.3,453.4,422.26,447.22,62746677.527109005
2026-05-13,447.425,452.3,441.16,448.71,51324862.837429
2026-05-14,448.88,451.98,423.88,425.03,45011829.649696
2026-05-15,425.23,429.37,417.88,418.57,22745542.336779
2026-05-17,418.28,421.13,407.86,412.13,25871807.432869993
2026-05-18,412.18,414.58,393.63,397.195,46479892.052531995
2026-05-19,397.37,413.9,396.01,412.505,41032950.572526
2026-05-20,412.56,426.95,411.06,417.33,39005529.461615
2026-05-21,417.385,430.83,415.9882,429.0,42373166.287705004
2026-05-22,429.075,431.51,423.38,423.87,20161351.388601
2026-05-25,423.98,434.56,423.98,428.59,22802495.272774998
2026-05-26,428.54,445.6,427.52,440.76,45615514.409999
2026-05-27,440.84,443.14,427.8,441.54,33086538.843475003
2026-05-28,441.42,443.97,428.14,434.79,33501392.495667
2026-05-29,434.8,441.07,434.04,434.34,19084659.829597
2026-05-31,435.74,437.5,418.65,420.99,20630494.326554
2026-06-01,421.12,423.47,410.64,421.83,39114516.295733005
2026-06-02,421.91,433.6,416.0,423.62,38079155.366475
2026-06-03,423.705,426.315,417.195,418.828,36644642.119483
2026-06-04,418.817,424.58,400.46,401.366,37858888.99147
2026-06-05,401.364,401.49,388.63,391.302,32509867.133766998
2026-06-07,392.74,404.42,389.7,402.093,20135544.323233005
2026-06-08,402.075,418.51,391.78,392.342,52270842.60316
2026-06-09,392.332,397.68,382.72,386.404,54707191.985731
2026-06-10,386.406,390.19,378.079,386.325,40288785.269303
2026-06-11,386.327,404.26,383.01,389.018,49524434.877676
2026-06-12,389.31,407.4,386.76,405.86,32981771.4301
2026-06-13,405.8,406.68,405.03,406.63,5.2264
2026-06-14,406.4,416.0,406.35,408.966,21111203.807222
2026-06-15,408.957,412.345,400.55,406.053,43218864.342967995
2026-06-16,406.034,407.51,397.6,401.047,30013069.256818
2026-06-17,401.039,405.85,384.735,390.819,48274577.13264299
2026-06-18,390.838,402.47,390.59,398.38,24878709.701561004
2026-06-19,400.55,402.05,398.25,401.07,8.926
2026-06-20,402.03,404.46,400.91,404.46,18.3241
2026-06-21,404.46,414.69,390.79,407.913,25957768.124792
2026-06-22,407.87,409.54,382.08,383.423,38690376.50318101
2026-06-23,383.417,385.81,378.91,380.539,36722524.874493994
2026-06-24,380.485,381.92,371.42,375.566,33695530.350282
2026-06-25,375.58,387.8,367.06,384.91,33262464.262257997
2026-06-26,384.995,387.315,369.68,377.95,23815587.477963
2026-06-27,377.96,391.87,375.63,391.39,1612.6003
2026-06-28,391.39,400.79,378.689,400.595,23654127.773957998
2026-06-29,400.664,418.0,400.658,415.81,52399344.319276996
2026-06-30,415.77,432.84,414.05,428.415,44429922.625432
2026-07-01,428.42,437.99,394.3,398.45,58053604.346277
2026-07-02,398.335,398.68,389.33,398.46,35150248.086101994
2026-07-03,398.48,399.53,397.38,397.38,19.41
2026-07-04,399.01,399.83,397.1,399.37,8.5602
2026-07-05,399.83,414.61,390.595,414.13,22590807.858339
2026-07-06,414.13,419.99,404.46,407.13,49036498.6471
2026-07-07,407.05,410.06,391.01,392.94,37341776.37524
2026-07-08,392.895,400.46,390.52,399.42,33250129.463941
2026-07-09,399.45,412.48,398.13,409.43,40001437.084369995
2026-07-10,409.51,413.13,404.4,404.89,17524533.655041996
2026-07-11,406.23,409.1,403.05,406.46,57.054
2026-07-12,406.37,407.11,392.86,395.609,21977716.967126
2026-07-13,395.52,402.22,391.425,396.63,29525285.107442997
2026-07-14,396.53,406.58,393.25,395.22,25822243.735666
2026-07-15,395.258,399.36,385.35,392.699,46181922.083599
2026-07-16,392.675,392.702,377.24,382.42,30794751.063392006
2026-07-17,382.5,385.63,379.711,382.56,16918449.566627998
2026-07-18,382.56,383.71,380.06,383.71,11.0874
2026-07-19,383.77,386.48,371.685,374.03,15340316.451827997
2026-07-20,373.99,384.06,369.267,381.05,33969543.866218
2026-07-21,381.1,382.04,374.94,378.19,25642782.322254
2026-07-22,378.3,378.61,318.58,324.61,89799715.54189001
2026-07-23,324.7,326.29,308.33,310.88,86463440.980119
2026-07-24,310.915,314.31,306.53,311.37,30062448.469559003
2026-07-25,311.37,313.65,311.24,313.57,92.5733
2026-07-26,313.69,318.6,304.29,308.69,22627457.537095
2026-07-27,308.78,310.38,300.69,309.623,62763422.956791
2026-07-28,309.77,311.15,300.59,301.485,34023087.111776
2026-07-29,301.48,309.095,293.44,305.26,46860397.681966
2026-07-30,305.25,322.68,301.97,307.578,49941567.441823
2026-07-31,307.55,313.14,307.36,309.37,19697149.469871
2026-08-01,309.45,310.59,307.54,310.59,146.3506
2026-08-02,310.64,324.16,309.43,323.395,21767403.947082
2026-08-03,323.39,326.88,319.42,324.245,36302682.077918
2026-08-04,324.24,329.56,320.5,321.9,35968954.251879
2026-08-05,321.875,324.4,315.59,319.694,36062454.076378
2026-08-06,319.73,333.68,317.28,331.52,42129246.009058
2026-08-07,331.555,332.22,326.57,329.78,20692161.640482
2026-08-08,329.8,332.19,329.52,332.19,413.0641
2026-08-09,332.25,340.0,326.29,331.176,17896978.928436
2026-08-10,331.175,336.21,328.386,332.994,32926259.756075
2026-08-11,332.975,335.35,323.69,325.991,29143701.605171
2026-08-12,325.991,335.41,324.685,333.122,36787551.20477
2026-08-13,333.18,351.27,333.135,338.675,59017105.925149
2026-08-14,338.72,343.5,337.85,341.67,19505638.953539997
2026-08-15,341.67,343.17,341.52,342.99,59.8372
2026-08-16,343.03,345.01,337.5,341.41,12589376.427028
2026-08-17,341.465,345.36,331.15,339.84,29067679.373364996
2026-08-18,339.84,348.52,334.39,346.936,21288907.980151
2026-08-19,346.937,351.8,338.99,345.737,18766142.359312
2026-08-20,345.78,364.46,341.57,362.54,44181751.620007
2026-08-21,362.45,366.5,360.44,361.05,31922772.011612
2026-08-22,361.25,362.63,360.98,362.63,97.5812
2026-08-23,362.54,368.52,351.7,356.01,17865035.716299
2026-08-24,356.078,357.28,347.832,353.558,55784985.554735
2026-08-25,353.556,357.0,342.59,344.35,30441178.394054
2026-08-26,344.335,354.82,343.44,352.59,29819690.302095003
2026-08-27,352.67,358.69,348.07,348.48,34569784.218409
2026-08-28,348.512,349.86,345.23,349.3,20030207.008652
2026-08-29,349.44,351.37,349.19,350.56,102.8363
2026-08-30,350.68,367.15,345.26,365.44,31785105.525360998
2026-08-31,365.47,368.91,353.4,358.89,56562848.476840004
2026-09-01,358.78,361.09,349.98,352.7,36793980.711582996
2026-09-02,352.69,383.37,351.725,382.715,72173259.907049
2026-09-03,363.5914,364.69,351.3201,351.715,88571419.923142
2026-09-04,352.91,355.3,352.79,355.25,38.3608
2026-09-05,355.25,355.86,352.3,354.71,197.0002
2026-09-06,354.74,355.26,353.0,354.63,153.625
2026-09-07,354.1,368.24,352.18,367.7701,31667623.74074
2026-09-08,367.78,375.44,363.7,370.625,48813007.251571
2026-09-09,370.62,371.12,357.68,366.7992,34278148.234852
2026-09-10,366.75,368.66,360.14,365.12,34300848.993906
2026-09-11,365.18,366.59,364.0,365.66,15739887.410593
2026-09-12,365.66,369.41,363.0,363.0,384.3018
2026-09-13,363.12,367.73,357.04,363.1542,19435056.620008
2026-09-14,363.1745,364.22,354.6313,361.115,33192581.915713
2026-09-15,361.165,365.0499,354.05,362.33,35118530.345363
2026-09-16,362.31,374.12,355.0,369.1671,40678944.892926
2026-09-17,369.13,370.9,360.751,363.0244,48598248.400016
2026-09-18,364.0,364.71,364.0,364.48,25.4517
2026-09-19,364.61,364.94,363.79,363.93,111.8416
2026-09-20,364.91,378.36,364.91,375.22,20075638.05265
2026-09-21,375.215,378.18,372.655,376.7,15154616.669508
